,Pyruvate,,,Lactate,,,Alanine,,,Glycine,,,Valine,,,Leucine,,,Isoleucine,,,Succinate 1,,,Succinate 2,,,Succinate 3,,,Succinate 4,,,Proline,,,Fumarate 1,,,Fumarate 2,,,Fumarate 3,,,Methionine,,,Serine,,,a-kg,,,Threonine,,,Phenylalanine,,,Malate 1,,,Malate 2,,,Aspartate,,,Glutamate,,,Lysine,,,Histidine,,,Histidine,,,Citrate 1,,,Citrate 2,,,Citrate 3,,,Tyrosine,,,
HB2_0,24249,534026,,98690,205852,,46940,225097,,48566,223402,,19337,192808,,77889,219959,,28388,199522,,17055,4215,,3729,15463,,489846,116240,,51380,0,,1182,140081,,64382,27166,,826379,201376,,93462,0,,22771,221283,,71204,386087,,8167,256590,,29004,249346,,22113,250591,,40048,16571,,67517,330185,,25487,264365,,97804,442032,,5903,30392,,10561,119502,,10561,119502,,51025,21216,,21944,366656,,139465,0,,13924,193683,,
HB2_10,36183,1181995,,162337,477284,,42812,626224,,97481,589284,,14433,476563,,75095,565172,,23449,514567,,74193,17735,,13135,37166,,1183798,284298,,126035,0,,1856,385783,,324367,108715,,2028294,496542,,231643,0,,26225,602509,,55565,977013,,36356,743665,,17869,562499,,15525,629825,,450373,167810,,178750,761913,,109300,621127,,842651,1148550,,7751,159438,,14287,818422,,14287,818422,,112651,45329,,43323,707336,,268139,0,,11037,528535,,
HB2_5,19963,616212,,140617,250862,,28317,288096,,24345,286332,,10434,239344,,52979,277077,,18536,253135,,33757,8179,,6362,19421,,622007,148284,,65928,0,,792,190054,,181361,59412,,1030568,250549,,117252,0,,17313,294046,,38609,484032,,12451,366518,,13387,279687,,13476,324821,,223936,83225,,96585,406957,,67404,314655,,300019,569393,,5240,66833,,7782,313343,,7782,313343,,35863,14915,,19198,391436,,148056,0,,8832,271979,,
HF12_0,15713,417806,,65833,148077,,11678,94627,,12163,63392,,4784,108441,,24914,117540,,5948,112675,,14655,3747,,2986,10457,,351655,83815,,37325,0,,369,55776,,42454,18454,,582484,141634,,66836,0,,6836,109876,,20351,212741,,3109,165651,,8008,146828,,6480,128679,,16842,7317,,40008,229503,,5138,122903,,30972,191781,,7898,2300,,0,0,,31,305,,39449,15843,,13371,211785,,81226,0,,3116,78502,,
HF12_10,15993,1067448,,166545,396497,,46437,517929,,34911,482975,,12640,396523,,78882,472024,,22988,430006,,44115,10767,,8788,30075,,973305,233048,,103640,0,,2566,315602,,386549,117805,,1952723,475360,,218316,0,,26383,499759,,58821,814531,,23892,630387,,17286,437908,,19444,524945,,445647,161703,,146666,647738,,100639,527103,,922119,974366,,7910,127373,,25,0,,4226,228173,,84613,34309,,34478,647358,,244488,0,,11307,442884,,
HF12_5,36789,1125187,,242525,455176,,58773,544131,,247157,321164,,14139,439543,,90816,514486,,32620,472263,,78402,19193,,12633,35477,,1090827,261105,,116013,0,,2752,322084,,437172,132057,,1917819,468573,,216044,0,,30119,516654,,69328,853332,,30145,684555,,17129,408928,,24745,565177,,505054,184777,,186235,727468,,115614,537834,,869164,1037931,,6683,90391,,606,4972,,606,4972,,133334,53134,,46406,670353,,255482,0,,13493,461540,,
HF2_0,21868,482819,,67426,177696,,37897,194088,,37408,185454,,14149,162440,,59620,185978,,20631,168871,,14970,3745,,3256,13562,,425440,101301,,44874,0,,912,119498,,58385,24594,,731948,178145,,83115,0,,17488,183923,,55226,322868,,6247,224803,,22593,211629,,17825,208974,,36129,14905,,57578,290644,,27053,221911,,78056,356236,,3436,18345,,4841,60912,,4841,60912,,56133,22690,,21390,330380,,125649,0,,10083,153466,,
HF2_10,22494,1099292,,157970,445387,,43420,583275,,39042,537661,,14782,448042,,77297,531659,,24684,483798,,58509,14170,,10894,33918,,1089209,260722,,116401,0,,1721,383130,,390595,120628,,1940172,473977,,218276,0,,25938,550053,,52807,874958,,40491,676612,,17008,487120,,17033,585663,,470072,171832,,169472,695636,,131033,551658,,887865,1043260,,7976,146123,,13578,716993,,13578,716993,,76413,31305,,33681,624747,,236909,0,,11483,491880,,
HF2_5,40116,1273194,,160197,486481,,65558,630109,,131503,571175,,21311,482493,,101726,555895,,35870,517464,,79037,18980,,13676,40088,,1209640,289503,,128503,0,,2568,386964,,458513,141159,,2041917,499082,,231331,0,,32238,584337,,77878,941723,,120630,612762,,28218,554979,,25337,629439,,815906,297424,,275428,794180,,116780,507468,,1472366,1136798,,12657,154399,,18857,729798,,18857,729798,,78088,32611,,38289,722648,,274875,0,,16779,527269,,
LB12_0,30663,991583,,161294,391338,,49981,502755,,85230,501688,,12485,395725,,79281,465401,,16133,422174,,47085,11629,,8906,29831,,963461,231641,,102770,0,,1376,342451,,159272,62082,,1759691,432160,,202101,0,,24997,490526,,63689,831865,,10011,616845,,19500,476237,,19494,527806,,89238,36900,,132357,656476,,20947,605908,,109781,997601,,7218,98865,,17266,420576,,17266,420576,,154462,62464,,50178,677281,,259730,0,,11600,418357,,
LB12_10,58472,1383987,,205612,555953,,65680,718539,,74000,652797,,11582,549024,,82045,646782,,21868,592126,,70471,16606,,13791,41951,,1371344,328496,,147149,0,,1959,414436,,574080,172582,,2590987,632564,,292275,0,,28549,669962,,58373,1096595,,49820,857458,,20350,686377,,19617,704766,,948378,343173,,291019,916424,,169612,669029,,1559169,1280201,,7932,157788,,10190,675197,,10190,675197,,96966,39967,,47391,877989,,332730,0,,10950,556167,,
LB12_5,46853,1195851,,163687,478242,,69493,629674,,135095,579611,,14372,481295,,91771,563897,,27499,518038,,67628,16466,,12937,36668,,1188593,285860,,127091,0,,2632,413860,,501114,150091,,2226983,542672,,250632,0,,31641,606510,,70867,969787,,38051,789179,,21367,534164,,24759,648537,,693488,251209,,235194,805649,,171771,613057,,1193625,1191006,,10423,162805,,17156,860121,,17156,860121,,133015,53222,,50033,781503,,296090,0,,14311,541407,,
LB2_0,54251,1243612,,265264,464128,,120163,621610,,106181,594258,,36399,477495,,162935,567767,,55541,514678,,65010,15784,,11230,35633,,1142345,276009,,123074,0,,2352,421388,,230255,85119,,2193513,539895,,252004,0,,47947,581620,,146305,997233,,20556,654629,,52404,574699,,40282,620356,,139689,55875,,165137,787880,,80235,677972,,189416,1141197,,16200,103086,,24099,315968,,566,0,,252088,100195,,71751,784540,,298098,0,,22565,443810,,
LB2_10,53396,1708502,,230567,643321,,81818,843468,,92483,777964,,21485,644765,,130128,762000,,38147,690877,,78009,18680,,15177,51764,,1522510,365699,,171634,0,,2215,529270,,574728,177498,,2480932,605837,,280561,0,,40377,765713,,82771,1204421,,57199,896683,,27998,729315,,26696,793727,,640746,236216,,229706,916309,,232182,749149,,986339,1389501,,11386,188824,,865,0,,19989,985192,,83576,34634,,39101,753129,,286424,0,,15353,637642,,
LB2_5,20126,608625,,72708,229438,,26586,260356,,18349,254366,,7766,218538,,46538,253125,,14158,231356,,37630,9012,,6356,17632,,559507,134074,,59605,0,,828,169138,,244041,73084,,951912,229872,,107707,0,,14598,261713,,30738,426425,,19682,307216,,9786,235364,,10522,288350,,275227,100588,,89022,356063,,91936,267851,,405556,497306,,3704,54287,,4923,221278,,4923,221278,,30227,12612,,15389,312558,,117943,0,,5986,230086,,
LB3_0,49414,1154343,,194979,441068,,71691,592253,,3095448,633489,,20579,450316,,83616,535043,,25612,484593,,68700,17214,,12109,34194,,1099426,264596,,117068,0,,2369,394980,,217008,80632,,1991130,490088,,233269,0,,29224,569715,,81498,956233,,11490,700984,,30497,569760,,21533,604765,,195510,78782,,151439,744879,,29030,699124,,128477,1162590,,11344,125721,,29693,511721,,29693,511721,,255093,102631,,73108,736023,,281757,0,,14910,499552,,
