Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
429575,1849380,178237,40585,14427,0,27592,709390,171621,769124,5580,0,10043,568179,27505,675920,11212,624752,113928,32158,7609,1863,1399646,338247,151758,0,5165,384251,85597,87941,2429422,603154,329852,0,16010,667303,39750,984140,263,74,159,0,67501,0,6761,419983,7074,684135,33873,18988,69629,392731,82,0,22095,894944,12363,0,47,0,516,383,429,349,209,0,4115,534892,
371064,2100396,246376,55762,16045,0,42556,794372,977287,954778,16874,0,13043,633736,31684,758363,14995,701120,153332,43257,7662,1916,1547265,374293,164948,0,7242,494714,80550,96477,2795794,694829,376652,0,18477,759322,48794,1109681,290,293,245,112,39769,0,6951,402765,8989,781799,24222,14808,66276,345542,127,0,22784,930112,29623,0,51,0,644,457,543,196,448,0,5045,611326,
62301,2091002,227422,51531,15404,0,75143,794880,808111,1035743,13791,0,26769,626860,79879,746082,29835,677785,139431,39028,6703,0,1433079,348433,153750,0,6451,471218,73714,86907,2202283,548094,333757,0,29829,742980,85486,1230325,380,419,294,179,31233,0,17572,451387,20684,749435,12696,10511,43940,150460,971,0,141271,1173547,469820,0,667,0,1454,837,1060,0,753,0,13979,603627,
322879,1775023,138546,31647,15265,0,22807,690592,415464,759227,3233,0,8853,560360,22702,660000,9522,612133,110840,32669,6683,0,1375425,332386,147292,0,3447,344945,67152,86350,2473812,615735,340944,0,14764,654210,29531,947167,289,73,242,0,50143,0,5232,410015,5554,681830,19237,13143,61201,346680,60,0,16906,864912,9642,0,383,0,474,154,358,0,124,0,3526,523716,
299150,1926970,220560,50121,16005,0,39366,783546,283281,826894,5165,0,13599,622629,36191,741030,14480,685860,121847,39317,5201,0,1489191,362293,160262,0,5179,388324,63458,87775,2470737,614240,336434,0,19991,735103,43264,1081547,219,85,228,84,38811,0,9311,513128,8986,753885,15563,11626,56700,300694,80,0,25819,942013,25190,0,351,0,598,407,522,382,133,0,5353,587789,
45216,2251062,239072,54200,17392,0,67207,900591,234581,1124162,22186,0,26971,708375,85725,845013,28016,766813,179711,53071,1515,0,1130363,274399,118797,0,11084,528318,36861,56970,2221632,548127,283543,0,31139,847810,111700,1380964,519,616,447,199,4753,0,20081,522836,19692,870079,1421,1339,2891,7994,97,0,80377,1107993,561100,0,235,0,552,792,205,0,8361,0,11999,660453,
384538,2447652,251700,57386,19279,0,26289,676173,669062,641841,4310,0,9281,594551,24666,658652,10456,648787,124611,32942,3679,0,1706560,410593,181405,0,3376,262975,54685,72825,3699258,917841,485818,0,16258,696427,32095,1054902,335,345,188,147,49786,0,7236,566951,6617,699548,11433,6646,36991,245662,143,0,18243,814663,24210,0,218,8964,368,66,114,111,596,0,3491,508473,
358053,2247902,236336,53319,16279,0,36335,833040,315797,1093751,4475,0,13929,667316,36668,797290,15349,729618,201150,60365,3333,0,1530416,370129,161622,0,6356,422540,74547,80300,3218608,798906,409700,0,21450,801424,64384,1188907,365,141,78,70,11177,0,6533,344173,10385,817461,3790,2449,6936,32217,122,0,16251,899989,46473,0,223,0,752,150,168,62,208,0,5485,616271,
55327,1929905,218054,49496,24295,657276,82545,803730,9735817,858861,37875,0,21732,628283,78962,755951,25930,686153,108439,25947,25905,75252,1572402,380134,181281,0,3301,495005,99126,110909,2068597,515395,307023,0,29032,757678,78195,1263743,6500,2045,2318,24013,344320,0,23345,600984,18878,775853,62992,36372,185790,1024713,23593,786972,156966,1344453,12585,184301,44980,931822,120495,50299,50826,776010,303515,0,14026,631845,
114613,626544,40859,9425,5245,214238,5969,216080,82811,222345,1354,0,1817,175646,8817,204534,2177,189273,19600,7278,7264,21969,475363,113876,50751,0,153,95373,32819,34404,747403,182443,103229,0,4739,198003,7218,337821,894,383,483,2439,37016,0,1936,182629,1715,220454,10274,5843,20146,156600,657,112106,5524,225018,563,31674,476,14673,3175,1599,1942,41063,15815,0,1476,170384,
